lake,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM
Fog 05,2020-07-20,3,1.27,1.50,0.44,0.56,.,0,0.00,16.8,19.8,0.23,0.10,3.92,0.13,42.3,3.0,389.7,32.4,378,918,838,.,.,.,.,.,.,.
Fog 05,2020-07-20,4,.,.,.,0.54,.,0,0.00,13.6,15.8,0.26,0.09,5.27,0.17,31.0,2.2,285.1,23.7,362,949,810,.,.,.,.,.,.,.
Fog 05,2020-07-20,8,7.22,2.18,3.01,0.91,.,0,0.04,19.5,28.2,0.39,0.00,12.17,0.39,121.9,8.7,914.4,76.1,635,3668,2096,.,.,.,.,.,.,.
Fog 02,2020-07-21,1,0.53,0.58,0.11,0.39,.,0,0.00,10.2,11.5,.,0.09,NA,NA,18.2,1.3,197.5,16.4,260,1427,1356,.,.,.,.,.,.,.
Fog 02,2020-07-21,3,0.51,0.57,0.11,0.40,.,0,0.10,9.9,.,0.18,0.10,2.33,0.08,.,.,195.2,16.3,263,1425,1352,.,.,.,.,.,.,.
Fog 02,2020-07-21,6,0.71,0.81,0.20,0.45,.,0,0.00,10.2,12.3,0.20,0.08,3.64,0.12,29.9,2.1,268.7,22.4,297,1824,1626,.,.,.,.,.,.,.
Fog 02,2020-07-21,16,2.13,2.73,1.20,1.12,.,0.04,0.00,11.7,16.3,0.40,0.08,9.92,0.32,65.3,4.6,491.2,40.9,322,2484,1861,.,.,.,.,.,.,.
Fog 03,2020-07-21,1,0.51,0.58,0.15,0.68,.,0,0.00,13.1,15.2,0.19,0.10,2.79,0.09,30.1,2.1,259.0,21.6,416,999,940,.,.,.,.,.,.,.
Fog 03,2020-07-21,3,0.59,0.69,0.20,0.71,.,0.04,0.00,15.0,16.9,0.22,0.10,3.58,0.12,26.2,1.9,231.0,19.2,411,996,936,.,.,.,.,.,.,.
Fog 03,2020-07-21,6,1.11,1.29,0.37,0.69,.,0.03,0.00,14.6,16.6,0.22,0.10,3.69,0.12,28.2,2.0,228.2,19.0,438,1218,1041,.,.,.,.,.,.,.
Fog 03,2020-07-21,16,0.57,0.86,0.57,1.37,.,0.05,1.13,19.7,21.4,0.24,0.11,4.14,0.13,23.5,1.7,208.5,17.4,491,2041,1258,.,.,.,.,.,.,.
NE 14,2020-07-23,16,4.85,1.12,1.52,0.31,.,0.06,0.00,8.8,.,0.31,0.07,7.31,0.24,.,.,.,.,253,.,.,.,.,.,.,.,.,.
Toolik,2020-07-24,0,1.39,1.60,0.42,0.45,.,0.07,0.00,13.9,16.5,0.17,0.05,3.69,0.12,36.5,2.60,305.4,25.40,373,881,829,.,.,.,.,.,.,.
Toolik,2020-07-24,1,1.35,1.57,0.43,0.44,.,0.03,0.00,12.5,15.1,0.15,0.04,3.53,0.11,36.4,2.60,292.9,24.40,387,883,827,.,.,.,.,.,.,.
Toolik,2020-07-24,1,1.35,1.55,0.39,0.46,.,0.03,0.08,11.3,13.7,0.14,0.04,3.04,0.1,34.2,2.40,311.2,25.90,376,.,827,.,.,.,.,.,.,.
Toolik,2020-07-24,3,1.33,1.54,0.41,0.46,.,0.02,0.00,14.6,17.6,0.18,0.06,3.86,0.12,42.8,3.00,322.9,26.90,377,889,824,.,.,.,.,.,.,.
Toolik,2020-07-24,5,1.34,1.55,0.40,0.39,.,0.03,0.00,13.1,15.4,0.18,0.05,4.15,0.13,32.1,2.30,283.6,23.60,392,894,824,.,.,.,.,.,.,.
Toolik,2020-07-24,8,2.89,3.40,1.01,0.43,.,0.02,0.05,13.1,16.6,0.21,0.07,4.38,0.14,49.8,3.50,341.6,28.40,386,1075,847,.,.,.,.,.,.,.
Toolik,2020-07-24,12,1.46,1.84,0.76,1.06,.,0.02,2.66,15.8,18.8,0.25,0.07,5.43,0.18,42.5,3.00,288.2,24.00,428,1543,951,.,.,.,.,.,.,.
Toolik,2020-07-24,16,0.86,1.13,0.52,1.47,.,0.03,3.47,16.3,19.3,0.19,0.05,4.41,0.14,41.5,3.00,320.1,26.70,418,1730,973,.,.,.,.,.,.,.
Toolik,2020-07-24,20,0.79,1.09,0.60,1.61,.,0.03,3.74,19.4,21.6,0.15,0.06,2.75,0.09,31.3,2.20,257.6,21.50,414,1816,978,.,.,.,.,.,.,.
E 05,2020-07-25,0,2.17,2.46,0.58,0.41,.,0.03,0.00,13.9,.,0.26,0.13,3.9,0.13,.,.,.,.,415,149,116,.,.,.,.,.,.,.
E 05,2020-07-25,1,2.27,2.62,0.70,0.40,.,0.05,0.00,17.3,.,0.33,0.11,6.67,0.22,.,.,.,.,418,156,115,.,.,.,.,.,.,.
E 05,2020-07-25,3,1.98,2.24,0.50,0.42,.,0.05,0.00,14.5,.,0.32,0.12,6.25,0.2,.,.,.,.,415,177,116,.,.,.,.,.,.,.
E 05,2020-07-25,5,1.62,1.97,0.70,0.41,.,0.1,0.00,10.3,.,0.36,0.13,7.17,0.23,.,.,.,.,399,473,120,.,.,.,.,.,.,.
E 05,2020-07-25,8,0.64,0.99,0.70,0.42,.,0.09,0.05,12.1,.,0.40,0.19,6.53,0.21,.,.,.,.,402,1239,120,.,.,.,.,.,.,.
E 05,2020-07-25,10,0.41,0.89,0.96,0.59,.,0.16,0.09,8.9,.,0.39,0.24,4.52,0.15,.,.,.,.,378,1654,126,.,.,.,.,.,.,.
E 06,2020-07-25,0,2.04,2.44,0.80,0.48,.,0.08,0.57,14.5,.,0.39,0.13,8.14,0.26,.,.,.,.,475,165,97,.,.,.,.,.,.,.
E 06,2020-07-25,1,2.35,2.80,0.88,0.53,.,0.04,0.00,13.9,.,0.40,0.14,7.91,0.26,.,.,.,.,479,191,98,.,.,.,.,.,.,.
E 06,2020-07-25,2,2.16,2.77,1.21,0.51,.,0.05,0.06,15.3,.,0.50,0.13,11.44,0.37,.,.,.,.,477,204,97,.,.,.,.,.,.,.
I1,2020-07-27,1,0.88,1.03,0.30,0.65,.,0.02,0.00,13.4,.,0.19,0.08,3.47,0.11,.,.,.,.,438,424,262,.,.,.,.,.,.,.
I1,2020-07-27,5,1.00,1.15,0.32,0.55,.,0.02,0.00,14.5,.,0.23,0.10,4.15,0.13,.,.,.,.,433,459,263,.,.,.,.,.,.,.
I1,2020-07-27,9,1.53,1.88,0.70,0.57,.,0.03,0.15,16.6,.,0.34,0.09,7.62,0.25,.,.,.,.,419,1555,265,.,.,.,.,.,.,.
I2,2020-07-27,1,1.37,1.58,0.43,1.28,.,0.05,0.86,20.8,.,0.26,0.13,3.90,0.13,.,.,.,.,567,329,226,.,.,.,.,.,.,.
I2,2020-07-27,4,1.54,1.83,0.57,0.91,.,0.05,2.15,17.7,.,0.35,0.16,5.84,0.19,.,.,.,.,554,639,225,.,.,.,.,.,.,.
I2,2020-07-27,14,0.31,0.47,0.30,1.68,.,0.08,4.77,18.9,.,0.29,0.15,4.21,0.14,.,.,.,.,527,2199,234,.,.,.,.,.,.,.
I3,2020-07-27,1,1.26,1.55,0.58,0.63,.,0.07,0.00,16.7,.,0.28,0.09,5.82,0.19,.,.,.,.,499,349,239,.,.,.,.,.,.,.
I3,2020-07-27,3,1.43,1.75,0.62,0.63,.,0.04,0.04,20.0,.,0.37,0.11,7.97,0.26,.,.,.,.,506,363,242,.,.,.,.,.,.,.
I4,2020-07-27,1,1.63,1.98,0.68,0.68,.,0.06,0.00,17.3,.,0.37,0.12,7.70,0.25,.,.,.,.,509,319,228,.,.,.,.,.,.,.
I4,2020-07-27,6,2.37,3.40,2.04,0.72,.,0.09,0.00,13.9,.,0.62,0.22,12.32,0.4,.,.,.,.,472,974,250,.,.,.,.,.,.,.
I4,2020-07-27,6,1.98,2.99,1.99,0.77,.,0.12,0.01,16.8,.,0.57,0.21,11.19,0.36,.,.,.,.,459,971,249,.,.,.,.,.,.,.
I5,2020-07-28,1,1.06,1.29,0.45,0.79,.,0.03,0.02,17.9,.,0.19,0.08,3.37,0.11,.,.,.,.,507,283,227,.,.,.,.,.,.,.
I5,2020-07-28,5,0.88,1.28,0.79,0.76,.,0.04,0.02,18.1,.,0.24,0.10,4.45,0.14,.,.,.,.,504,342,227,.,.,.,.,.,.,.
I5,2020-07-28,8,0.95,1.39,0.88,0.75,.,0.06,0.01,17.2,.,0.27,0.10,5.40,0.17,.,.,.,.,498,1082,232,.,.,.,.,.,.,.
I6,2020-07-28,1,1.30,1.52,0.44,0.73,.,0.03,0.04,14.1,.,0.23,0.10,3.95,0.13,.,.,.,.,474,541,396,.,.,.,.,.,.,.
I6,2020-07-28,6,1.26,1.53,0.53,0.78,.,0.03,0.24,14.8,.,0.22,0.09,3.99,0.13,.,.,.,.,476,915,409,.,.,.,.,.,.,.
I6,2020-07-28,12,0.61,0.96,0.69,2.32,.,0.04,0.90,14.3,.,0.32,0.10,6.76,0.22,.,.,.,.,445,1487,430,.,.,.,.,.,.,.
I7,2020-07-28,1,1.53,1.82,0.57,0.79,.,0.04,0.07,15.8,.,0.20,0.09,3.46,0.11,.,.,.,.,444,559,435,.,.,.,.,.,.,.
I7,2020-07-28,6,1.43,1.77,0.69,0.83,.,0.06,0.01,11.3,.,0.26,0.10,5.10,0.16,.,.,.,.,388,833,361,.,.,.,.,.,.,.
I7,2020-07-28,10,1.25,1.56,0.62,1.24,.,0.04,0.19,14.9,.,0.23,0.10,4.00,0.13,.,.,.,.,407,1375,407,.,.,.,.,.,.,.
I8,2020-07-29,1,3.92,4.59,1.34,0.57,.,0.04,0.08,14.1,.,0.29,0.13,5.05,0.16,.,.,.,.,449,1048,973,.,.,.,.,.,.,.
I8,2020-07-29,3,4.21,4.67,0.91,0.60,.,0.04,0.31,16.2,.,0.27,0.11,5.08,0.16,.,.,.,.,464,1054,966,.,.,.,.,.,.,.
I8,2020-07-29,7,4.02,4.66,1.27,0.62,.,0.05,0.63,17.6,.,0.33,0.11,6.75,0.22,.,.,.,.,464,1070,955,.,.,.,.,.,.,.
I Swamp,2020-07-29,1,0.69,0.86,0.34,0.74,.,0.00,0.81,20.8,.,0.21,0.12,2.72,0.09,.,.,.,.,643,699,465,.,.,.,.,.,.,.
I Swamp,2020-07-29,4,0.64,0.82,0.36,0.81,.,0.00,0.57,21.8,.,0.24,0.11,3.97,0.13,.,.,.,.,793,654,353,.,.,.,.,.,.,.
Toolik,2020-07-31,0,1.66,1.91,0.49,0.48,.,0.02,0.00,12.0,14.5,0.18,0.07,3.37,0.11,35.8,2.50,284.5,23.70,377,911,829,.,.,.,.,.,.,.
Toolik,2020-07-31,1,1.62,1.88,0.50,0.52,.,0.01,0.03,15.7,19.0,0.15,0.05,3.15,0.10,47.1,3.30,357.1,29.70,376,914,827,.,.,.,.,.,.,.
Toolik,2020-07-31,1,1.65,1.92,0.55,0.48,.,0.02,0.01,15.2,17.7,0.16,0.06,3.05,0.10,35.8,2.50,303.7,25.30,388,.,827,.,.,.,.,.,.,.
Toolik,2020-07-31,3,1.65,1.93,0.55,0.50,.,0.01,0.00,11.3,14.1,0.27,0.16,3.50,0.11,39.2,2.80,306.8,25.50,373,932,834,.,.,.,.,.,.,.
Toolik,2020-07-31,5,1.59,1.88,0.57,0.51,.,0.02,0.11,14.6,17.7,0.16,0.06,3.05,0.10,43.5,3.1,360.7,30.0,392,951,833,.,.,.,.,.,.,.
Toolik,2020-07-31,8,1.87,2.20,0.66,0.67,.,0.02,0.16,14.5,17.5,0.19,0.06,4.10,0.13,41.7,3.0,335.2,27.9,399,1117,847,.,.,.,.,.,.,.
Toolik,2020-07-31,12,1.10,1.43,0.66,1.47,.,0.02,2.60,15.3,17.3,0.23,0.06,5.41,0.17,27.6,2.0,230.9,19.2,406,1853,947,.,.,.,.,.,.,.
Toolik,2020-07-31,16,0.75,1.03,0.57,1.88,.,0.02,3.44,19.6,21.5,0.21,0.06,4.70,0.15,26.9,1.9,243.7,20.3,460,2086,983,.,.,.,.,.,.,.
Toolik,2020-07-31,20,0.72,1.05,0.66,2.05,.,0.03,3.86,16.7,18.9,0.26,0.07,5.81,0.19,30.2,2.2,277.9,23.1,418,2927,974,.,.,.,.,.,.,.
LTER 395,2020-08-06,1,1.01,1.24,0.68,1.01,.,0.04,0.75,14.7,.,1.23,0.38,26.25,0.85,.,.,.,.,389,.,.,.,.,.,.,.,.,.
LTER 395,2020-08-06,3,0.93,1.50,0.62,1.20,.,0.03,0.90,16.4,.,1.43,0.36,33.22,1.07,.,.,.,.,395,.,.,.,.,.,.,.,.,.
LTER 395,2020-08-06,4,1.09,1.44,0.80,1.35,.,0.00,0.97,17.6,.,1.30,0.36,29.10,0.94,.,.,.,.,410,.,.,.,.,.,.,.,.,.
LTER 395,2020-08-06,0,1.03,1.35,0.83,1.09,.,0.00,0.79,17.2,.,1.16,0.32,25.97,0.84,.,.,.,.,402,.,.,.,.,.,.,.,.,.
LTER 396,2020-08-06,1,0.95,1.19,0.47,0.43,.,0.04,0.00,17.8,.,0.21,0.07,4.24,0.14,.,.,.,.,436,.,.,.,.,.,.,.,.,.
LTER 396,2020-08-06,3,0.95,1.14,0.37,0.48,.,0.04,0.00,16.7,.,0.21,0.08,3.94,0.13,.,.,.,.,425,.,.,.,.,.,.,.,.,.
LTER 396,2020-08-06,6,0.94,1.15,0.43,0.62,.,0.04,0.01,15.0,.,0.22,0.07,4.74,0.15,.,.,.,.,429,.,.,.,.,.,.,.,.,.
LTER 396,2020-08-06,5,0.77,0.98,0.41,0.59,.,0.04,0.00,13.8,.,0.22,0.08,4.24,0.14,.,.,.,.,423,.,.,.,.,.,.,.,.,.
Toolik,2020-08-07,0,1.34,1.57,0.47,0.42,.,0.00,0.00,15.3,18.2,0.18,0.08,2.99,0.1,41.3,2.9,347.1,28.9,401,973,842,.,.,.,.,.,.,.
Toolik,2020-08-07,1,1.47,1.69,0.43,0.45,.,0.00,0.03,14.6,17.4,0.18,0.09,2.72,0.09,40.1,2.8,341.3,28.4,385,972,841,.,.,.,.,.,.,.
Toolik,2020-08-07,1,1.29,1.54,0.49,0.48,.,0.00,0.01,10.7,13.5,0.19,0.08,3.34,0.11,39.8,2.8,345.5,28.8,399,.,841,.,.,.,.,.,.,.
Toolik,2020-08-07,3,1.54,1.79,0.50,0.48,.,0.00,0.03,13.8,17.0,0.17,0.08,2.93,0.09,45.2,3.2,375.3,31.3,378,999,844,.,.,.,.,.,.,.
Toolik,2020-08-07,5,1.45,1.72,0.53,0.44,.,0.00,0.04,14.3,17.4,0.19,0.09,3.13,0.1,43.5,3.1,352.8,29.4,378,1012,842,.,.,.,.,.,.,.
Toolik,2020-08-07,8,1.70,2.03,0.66,0.51,.,0.00,0.66,12.5,15.2,0.21,0.10,3.31,0.11,37.9,2.7,299.5,24.9,393,1136,859,.,.,.,.,.,.,.
Toolik,2020-08-07,12,0.89,1.17,0.55,1.65,.,0.00,2.62,16.4,17.9,0.22,0.08,4.43,0.14,21.3,1.5,211.7,17.6,401,2330,949,.,.,.,.,.,.,.
Toolik,2020-08-07,16,0.59,0.81,0.44,2.05,.,0.00,3.68,19.1,21.1,0.23,0.09,4.29,0.14,28.7,2.0,237.3,19.8,425,2222,973,.,.,.,.,.,.,.
Toolik,2020-08-07,20,0.64,0.91,0.52,2.39,.,0.00,4.13,18.9,20.8,0.26,0.10,5.00,0.16,26.6,1.9,253.4,21.1,401,2274,979,.,.,.,.,.,.,.
Fog 01,2020-08-10,1,0.48,0.55,0.13,0.48,.,0.04,0.00,13.9,15.7,0.19,0.10,2.75,0.09,25.7,1.8,259.7,21.6,361,1408,1362,.,.,.,.,.,.,.
Fog 01,2020-08-10,3,0.53,0.60,0.14,0.47,.,0.03,0.00,12.1,13.7,0.16,0.08,2.34,0.08,22.7,1.60,198.3,16.50,382,1403,1357,.,.,.,.,.,.,.
Fog 01,2020-08-10,6,0.90,1.03,0.25,0.50,.,0.04,0.00,12.3,13.4,0.19,0.09,3.21,0.10,16.1,1.10,180.2,15.00,364,1408,1352,.,.,.,.,.,.,.
Fog 01,2020-08-10,16,0.61,0.85,0.48,0.87,.,0.04,0.31,17.2,18.6,0.22,0.09,3.90,0.13,19.4,1.40,181.4,15.10,450,2369,1791,.,.,.,.,.,.,.
Fog 04,2020-08-10,0,2.98,3.49,1.01,0.91,.,0.04,0.00,18.9,25.5,0.38,0.13,7.63,0.25,93.2,6.60,820.1,68.30,483,1132,1056,.,.,.,.,.,.,.
Fog 04,2020-08-10,1,2.36,2.75,0.78,0.58,.,0.03,0.00,17.8,25.1,0.44,0.13,9.72,0.31,102.1,7.30,923.1,76.90,478,1140,1061,.,.,.,.,.,.,.
Fog 04,2020-08-10,3,2.30,2.77,0.93,0.54,.,0.04,0.00,17.7,24.3,0.44,0.12,10.00,0.32,92.3,6.60,882.3,73.50,502,1160,1065,.,.,.,.,.,.,.
Fog 05,2020-08-10,1,0.94,1.12,0.36,0.52,.,0.04,0.00,14.3,16.8,0.22,0.12,3.16,0.10,35.8,2.5,343.2,28.6,475,1088,978,.,.,.,.,.,.,.
Fog 05,2020-08-10,3,1.59,1.90,0.61,0.54,.,0.04,0.00,14.4,16.7,0.23,0.11,3.72,0.12,33.0,2.3,304.9,25.4,489,1161,990,.,.,.,.,.,.,.
Fog 05,2020-08-10,4,1.27,1.59,0.62,0.54,.,0.04,0.00,16.4,19.3,0.20,0.08,3.87,0.12,40.5,2.9,346.1,28.8,474,1143,952,.,.,.,.,.,.,.
Fog 05,2020-08-10,7,2.02,3.04,2.02,2.21,.,0.04,0.19,21.5,27.6,0.34,0.00,10.39,0.34,85.3,6.1,668.2,55.6,577,3379,1826,.,.,.,.,.,.,.
Fog 02,2020-08-11,1,0.91,1.02,0.22,0.39,.,0.04,0.00,12.8,14.1,0.19,0.10,2.63,0.09,17.9,1.30,216.3,18.00,309,1485,1433,.,.,.,.,.,.,.
Fog 02,2020-08-11,3,0.96,1.07,0.22,0.39,.,0.03,0.00,12.4,13.6,0.15,0.05,3.19,0.10,17.5,1.20,224.1,18.70,294,1492,1436,.,.,.,.,.,.,.
Fog 02,2020-08-11,8,1.07,1.22,0.29,0.49,.,0.03,0.00,12.9,15.2,0.26,0.09,5.19,0.17,32.2,2.30,287.4,23.90,328,2032,1791,.,.,.,.,.,.,.
Fog 02,2020-08-11,16,0.55,0.69,0.29,4.62,.,0.04,0.38,16.1,18.1,0.31,0.09,6.69,0.22,27.6,2.00,279.9,23.30,323,2618,1869,.,.,.,.,.,.,.
Fog 03,2020-08-11,1,0.74,0.84,0.20,0.57,.,0.03,0.00,17.2,18.2,0.17,0.1,2.32,0.07,14.1,1.00,158.1,13.20,446,1033,974,.,.,.,.,.,.,.
Fog 03,2020-08-11,3,0.79,0.90,0.23,0.58,.,0.05,0.00,15.4,16.3,0.16,0.07,2.92,0.09,12.5,0.90,144.2,12.00,440,1032,973,.,.,.,.,.,.,.
Fog 03,2020-08-11,8,0.62,0.75,0.26,1.13,.,0.03,0.07,15.7,16.9,0.21,0.09,3.58,0.12,16.7,1.20,157.0,13.10,450,1311,1087,.,.,.,.,.,.,.
Fog 03,2020-08-11,16,0.38,0.61,0.46,1.69,.,0.04,1.78,20.6,22.0,0.24,0.09,4.61,0.15,19.6,1.40,184.0,15.30,488,2010,1261,.,.,.,.,.,.,.
LTER 345,2020-08-12,1,0.57,0.67,0.19,0.42,.,0.03,0.00,11.2,.,0.11,0.07,1.24,0.04,.,.,.,.,327,.,.,.,.,.,.,.,.,.
LTER 345,2020-08-12,5,0.65,0.75,0.19,0.41,.,0.03,0.00,13.4,.,0.17,0.1,2.03,0.07,.,.,.,.,361,.,.,.,.,.,.,.,.,.
LTER 345,2020-08-12,12,0.62,0.75,0.25,1.03,.,0.03,0.76,12.8,.,0.16,0.09,2.06,0.07,.,.,.,.,382,.,.,.,.,.,.,.,.,.
LTER 345,2020-08-12,20,0.33,0.43,0.19,1.22,.,0.04,1.91,14.5,.,0.16,0.08,2.55,0.08,.,.,.,.,374,.,.,.,.,.,.,.,.,.
LTER 345,2020-08-12,23,0.35,0.46,0.21,1.27,.,0.03,2.25,18.4,.,0.18,0.09,2.70,0.09,.,.,.,.,390,.,.,.,.,.,.,.,.,.
LTER 346,2020-08-12,3,0.77,0.90,0.25,0.54,.,0.03,0.00,16.4,.,0.24,0.11,4.07,0.13,.,.,.,.,478,.,.,.,.,.,.,.,.,.
LTER 346,2020-08-12,6,0.89,1.08,0.38,1.05,.,0.04,0.40,21.7,.,0.27,0.12,4.71,0.15,.,.,.,.,555,.,.,.,.,.,.,.,.,.
LTER 346,2020-08-12,13,0.23,0.51,0.56,1.75,.,0.05,1.59,23.9,.,0.22,0.13,2.74,0.09,.,.,.,.,596,.,.,.,.,.,.,.,.,.
LTER 347,2020-08-12,3,0.75,0.86,0.22,0.43,.,0.03,0.00,14.6,.,0.16,0.09,2.04,0.07,.,.,.,.,396,.,.,.,.,.,.,.,.,.
LTER 347,2020-08-12,7,1.25,1.46,0.42,0.42,.,0.03,0.00,16.5,.,0.17,0.08,2.71,0.09,.,.,.,.,412,.,.,.,.,.,.,.,.,.
LTER 347,2020-08-12,16,0.84,1.22,0.75,1.41,.,0.03,1.47,16.8,.,0.20,0.08,3.83,0.12,.,.,.,.,476,.,.,.,.,.,.,.,.,.
NE 14,2020-08-13,3,0.52,0.57,0.09,0.29,.,0.03,0.00,8.2,.,0.12,0.03,2.88,0.09,.,.,.,.,210,.,.,.,.,.,.,.,.,.
NE 14,2020-08-13,9,0.72,0.81,0.18,0.25,.,0.03,0.00,9.7,.,0.14,0.04,3.06,0.10,.,.,.,.,217,.,.,.,.,.,.,.,.,.
NE 14,2020-08-13,15,1.55,1.90,0.70,0.29,.,0.03,0.00,9.7,.,0.23,0.05,5.44,0.18,.,.,.,.,218,.,.,.,.,.,.,.,.,.
NE 9B,2020-08-13,1,2.04,2.41,0.75,0.46,.,0.04,0.00,12.5,.,0.38,0.12,8.03,0.26,.,.,.,.,352,.,.,.,.,.,.,.,.,.
NE 9B,2020-08-13,4,16.30,3.74,4.73,0.50,.,0.10,0.00,16.5,.,0.93,0.28,20.18,0.65,.,.,.,.,367,.,.,.,.,.,.,.,.,.
NE 9B,2020-08-13,5,18.70,5.74,19.83,0.51,.,0.09,0.00,20.1,.,1.19,0.07,34.57,1.12,.,.,.,.,534,.,.,.,.,.,.,.,.,.
Toolik,2020-08-14,0,1.33,1.54,0.40,0.39,.,0.03,0.00,13.2,15.9,0.15,0.05,3.10,0.10,38.6,2.7,350.6,29.2,396,910,863,.,.,.,.,.,.,.
Toolik,2020-08-14,1,0.90,1.05,0.29,0.35,.,0.03,0.00,13.6,16.2,0.15,0.04,3.48,0.11,36.2,2.6,361.4,30.1,383,909,861,.,.,.,.,.,.,.
Toolik,2020-08-14,1,1.15,1.33,0.37,0.37,.,0.03,0.00,15.6,19.0,0.16,0.05,3.35,0.11,47.7,3.4,407.5,33.9,389,.,861,.,.,.,.,.,.,.
Toolik,2020-08-14,3,1.33,1.52,0.38,0.44,.,0.03,0.08,11.6,13.9,0.18,0.07,3.39,0.11,32.9,2.3,333.7,27.8,379,909,856,.,.,.,.,.,.,.
Toolik,2020-08-14,5,1.09,1.26,0.35,0.37,.,0.05,0.01,14.2,17.3,0.21,0.08,3.92,0.13,43.4,3.1,360.5,30.0,378,933,863,.,.,.,.,.,.,.
Toolik,2020-08-14,8,1.77,2.10,0.64,0.47,.,0.03,0.12,14.6,17.2,0.17,0.05,3.70,0.12,36.9,2.6,318.7,26.5,385,1031,863,.,.,.,.,.,.,.
Toolik,2020-08-14,12,0.81,1.04,0.44,1.63,.,0.03,2.77,17.0,18.7,0.25,0.05,6.11,0.20,24.1,1.7,228.2,19.0,399,1627,951,.,.,.,.,.,.,.
Toolik,2020-08-14,16,0.36,0.54,0.35,1.89,.,0.04,3.88,17.6,19.3,0.23,0.07,5.11,0.16,23.9,1.7,232.4,19.4,435,1862,966,.,.,.,.,.,.,.
Toolik,2020-08-14,20,0.53,0.79,0.52,2.15,.,0.04,3.97,17.6,19.3,0.20,0.04,4.86,0.16,24.1,1.7,239.2,19.9,405,1942,972,.,.,.,.,.,.,.
I1,2020-08-17,1,0.88,1.00,0.25,0.66,.,0.17,0.00,12.6,.,0.09,0,2.71,0.09,.,.,.,.,420,378,266,.,.,.,.,.,.,.
I1,2020-08-17,8,1.05,1.26,0.41,0.44,.,0.05,0.11,14.4,.,0.19,0.01,5.45,0.18,.,.,.,.,417,819,266,.,.,.,.,.,.,.
I2,2020-08-17,1,1.57,1.82,0.50,0.52,.,0.05,0.35,20.9,.,0.15,0.03,3.80,0.12,.,.,.,.,561,270,228,.,.,.,.,.,.,.
I2,2020-08-17,5,0.95,1.09,0.28,0.77,.,0.05,1.61,16.7,.,0.23,0.10,4.14,0.13,.,.,.,.,555,411,218,.,.,.,.,.,.,.
I2,2020-08-17,14,0.18,0.31,0.25,1.62,.,0.08,4.95,17.8,.,0.40,0.21,5.75,0.19,.,.,.,.,500,1791,243,.,.,.,.,.,.,.
I3,2020-08-17,1,0.94,1.11,0.34,0.49,.,0.05,0.00,13.9,.,0.21,0.06,4.52,0.15,.,.,.,.,526,341,252,.,.,.,.,.,.,.
I3,2020-08-17,3,1.11,1.33,0.45,0.51,.,0.04,0.00,16.7,.,0.25,0.04,6.58,0.21,.,.,.,.,536,372,252,.,.,.,.,.,.,.
I4,2020-08-17,1,1.24,1.50,0.50,0.50,.,0.03,0.00,16.9,.,0.10,0,3.21,0.10,.,.,.,.,541,339,232,.,.,.,.,.,.,.
I4,2020-08-17,6,2.20,2.90,1.39,0.57,.,0.14,0.00,16.5,.,0.36,0.15,6.63,0.21,.,.,.,.,511,711,238,.,.,.,.,.,.,.
I5,2020-08-18,1,0.78,1.00,0.42,0.44,.,0.04,0.01,16.5,.,0.10,0,3.21,0.10,.,.,.,.,509,529,229,.,.,.,.,.,.,.
I5,2020-08-18,7,0.94,1.18,0.49,0.44,.,0.03,0.00,13.5,.,0.19,0.04,4.62,0.15,.,.,.,.,502,961,227,.,.,.,.,.,.,.
I5,2020-08-18,8,1.24,1.57,0.66,0.43,.,0.05,0.19,15.5,.,0.32,0.08,7.46,0.24,.,.,.,.,472,2648,239,.,.,.,.,.,.,.
I6,2020-08-18,1,0.93,1.08,0.29,0.41,.,0.03,0.00,15.9,.,0.16,0.03,4.03,0.13,.,.,.,.,472,501,426,.,.,.,.,.,.,.
I6,2020-08-18,5,1.03,1.28,0.50,0.39,.,0.04,0.05,.,.,0.15,0.04,3.46,0.11,.,.,.,.,.,557,442,.,.,.,.,.,.,.
I6,2020-08-18,12,0.66,0.92,0.51,2.38,.,0.04,1.02,16.6,.,0.24,0.04,6.27,0.20,.,.,.,.,450,784,433,.,.,.,.,.,.,.
I7,2020-08-19,1,0.99,1.21,0.43,0.42,.,0.02,0.00,13.8,.,0.13,0.01,3.76,0.12,.,.,.,.,465,553,469,.,.,.,.,.,.,.
I7,2020-08-19,5,1.32,1.64,0.62,0.42,.,0.03,0.00,.,.,0.16,0.04,3.80,0.12,.,.,.,.,443,630,459,.,.,.,.,.,.,.
I7,2020-08-19,10,0.80,1.14,0.67,2.54,.,0.04,0.80,15.4,.,0.22,0.03,6.04,0.19,.,.,.,.,354,845,386,.,.,.,.,.,.,.
I8,2020-08-19,1,1.68,1.96,0.56,0.53,.,0.03,0.00,14.3,.,0.12,0,3.62,0.12,.,.,.,.,470,1226,1163,.,.,.,.,.,.,.
