lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
West Lake (Osceola),182213.3318,2004759.433,IA,IADNR_ISU,126,IA126,8/6/04,2004,22.27,882,100.16,109.919,4.286,23.884,high
Willow Lake,17436.92004,2085152.412,IA,IADNR_ISU,129,IA129,7/28/04,2004,22,1001,38.03,10.963,3.835,1.97,high
Wilson Park Lake,121775.14,1981661.559,IA,IADNR_ISU,130,IA130,7/27/04,2004,42.28,2036,161.99,6.628,2.831,0.592,high
Windmill Lake,98301.19577,1969343.107,IA,IADNR_ISU,131,IA131,7/27/04,2004,36.95,2106,166.17,9.698,3.103,2.224,high
Gilead Lake,892041.876,2138799.537,MI,MI_DNR_ST,12_122,MI12_122,,2003,4.8,703,7,56.351,5.9,1.228,high
Craig Lake,900598.7036,2162670.833,MI,MI_STORET,12_21,MI12_21,9/24/79,1979,14,748,27,46.824,2.6,441.875,high
Rainbow Lake,861149.9058,2307469.562,MI,MI_STORET,59_306,MI59_306,9/4/80,1980,7.4,984,24,67.889,1.5,0.758,high
Cowden Lake,856808.0274,2310273.495,MI,MI_STORET,59_347,MI59_347,8/25/76,1976,20,511,33,44.942,5.1,1.097,high
Sand Lake,866751.6985,2149154.081,MI,MI_STORET,78_51,MI78_51,9/30/80,1980,8.8,1312,37,38.246,2.5,1.836,high
Duncan Lake,850187.0414,2242058.775,MI,MI_STORET,8_731,MI8_731,9/3/80,1980,10,1702,34,52.505,7.6,42.586,high
School Section Lake,822125.3295,2187239.508,MI,MI_STORET,80_165,MI80_165,9/10/81,1981,3.7,683,19,32.065,5.5,4.384,high
Rush Lake,801373.5603,2178990.013,MI,MI_STORET,80_194,MI80_194,9/14/77,1977,7.2,442,15,49.043,5,3.211,high
COMUS LAKE,599088.4878,2205693.142,WI,WIDNRbaseline,794200,WI794200,7/30/02,2002,145,3591,305,52.917,1.219,93.171,high
LOST LAKE,565965.1219,2293158.059,WI,WIDNROther,837100,WI837100,8/30/00,2000,119,3820,765,99.952,1.524,2.588,high
ASHIPPUN LAKE,608343.2066,2264382.804,WI,WIDNRbaseline,854300,WI854300,7/31/02,2002,2.15,1098,13,38.135,6.706,5.176,high
LONG LAKE,272646.8024,2501229.316,WI,WIDNROther,2478200,WI2478200,8/23/00,2000,70,2142,149,110.617,3.353,7.764,high
PINE LAKE,284958.7095,2454713.021,WI,WIDNRbaseline,2489700,WI2489700,7/24/03,2003,25.9,1600,69,47.943,2.438,7.764,high
RIVERDALE FLOWAGE,264458.8181,2466131.877,WI,WIDNRbaseline,2614600,WI2614600,7/24/03,2003,6.35,1464,72,27.57,1.829,820.422,high
Norway Lake,563330.8747,2624505.878,MI,MI_STORET,36_1488,MI36_1488,8/10/81,1981,2.3,223,8,20.999,2.6,0.229,low
Green Belt Lake,294963.9201,2170109.928,IA,IADNR_ISU,39,IA039,8/10/04,2004,39.62,1025,40.97,7.557,3.608,0.097,low
